ref,date,riskRating,category,location,details
SCA14.0683,2014-08-29,Information,,,[REDACTED] was heightened. Stated he wants to kill himself. Displaying unusual behaviour. Appeared happier later
SCA14.0716,2014-09-05,Minor,,,[REDACTED 1] and [REDACTED 2] involved in minor scuffle with young people in family camp.
SCA14.0735,2014-09-14,Minor,,,[REDACTED] diagnosed with pneumonia. Caseworker received call from IHMS.
SCA14.0520,2014-07-27,Information,,,SCA worker had a conversation with client [REDACTED] where she disclosed threats of self harm and not coping.
SCA14.1007,2014-10-28,Minor,,,[REDACTED] stated to case worker that he wanted to kill himself and his whole family
SCA14.1126,2014-11-29,Minor,,,[REDACTED 1] stated he did not approve of [REDACTED 2] & [REDACTED 3] being approved to move tents. He stated there will be conflict and physical altercations.
SCA14.0022,2014-01-17,Minor,FIGHTING,,"Verbal argument started in the bus awaiting to leave for school, between [REDACTED 1] and [REDACTED 2], resulting in in the two students kicking each other and [REDACTED 1] scratched [REDACTED 2]s face."
SCA14.0032,2014-01-21,Minor,Accident / Injury,,"[REDACTED 1], reported that a verbal argument between [REDACTED 2] and [REDACTED 3] developed into a physical assualt when [REDACTED 2] punched [REDACTED 3] in the mouth, causing minor bleeding, and had to be restrained by security staff on the bus."
SCA14.0812,2014-09-29,Minor,,,[REDACTED] told teacher that if she received a negative determination she would be the first to (Motioned cutting her throat).
SCA14.0813,2014-09-29,Minor,,,[REDACTED] told staff that if there is no resolution to her case that she will poison herself and her children.
SCA14.0890,2014-10-07,Information,INFORMATION,"RPC3, AREA1",DURING MEETING WITH A/S [REDACTED 1]; ANOTHER A/S APPROACHED AND ADVISE THAT THE ARABIC COMMUNITY NEEDED TO DESCUSS WHO SHOULD BE REPRESENTING THEM WITH IMMIGRATION.
SCA14.0062,2014-02-18,Minor,Fighting,,[REDACTED 1] fighting with [REDACTED 2] on bus from school to OPC3
SCA14.0157,2014-04-03,Information,Concern for minor raised,,A physical altercation between [REDACTED 1] & [REDACTED 2] in classroom
SCA14.0349,2014-06-26,Information,,,[REDACTED] put toast in the toaster along with some butter on the top to melt it. The butter fell into the toaster causing the toaster to short circuit and the power in the tent to go out. No one was hurt or injured.
SCA14.0384,2014-07-01,Information,,,[REDACTED] appeared to faint.
SCA14.0385,2014-07-01,Major,,,"[REDACTED 1] approached UAM case worker [REDACTED 2] and asked for a razor. When asked why, he gestured to placing the razor near his next. He then said he was 'just joking'."
SCA14.0336,2014-06-24,Information,,,"[REDACTED] was very distressed following a CAPS interview - she said that the interpreter did not relay the correct or full information. Client left interview in extreme distress, indicated she is not eating."
SCA14.0931,2014-10-14,Information,INFORMATION,,BREAKDOWN BETWEEN COMMUNICATIONS AND AMOUNT OF TIME THAT LAPSE TO HAVE [REDACTED 1] PICKED UP FROM RPC3 AND TAKEN TO SAA TO CONSOLE HER DUE TO NEWS OF HER FATHER PASSING AWAY
SCA14.0993,2014-10-25,Minor,WITNESS OF THOUGHTS OF SELF HARM,RPC3,[REDACTED 1] FOUND [REDACTED 2] WITH 2 RAZORS AND BELIEVE HIS WAS THINKING OF ATTEMPTING SELF-HARM
SCA14.0999,2014-10-27,Minor,,,[REDACTED 1] disclosed that [REDACTED 2] has told his father he wanted to kill himself. Case worker asked mother if he could speak with [REDACTED 2] who reiterated that he wanted to kill himself.
SCA14.1006,2014-10-27,Information,INFORMATION,RPC3,"Guard would not let [REDACTED 1] [REDACTED 2] on bus for scheduled visit as they didn‰Û¡ÌÝå»t say ""please"" resulting in them missing the visit."
SCA14.1012,2014-10-28,Information,INFORMATION,RPC3,Informed case worker that a local guard had been harrassing her and told her she would live with him when released.
SCA14.1055,2014-11-09,Minor,,,MISCOMMUNICATION AROUND CATERING OF A CAKE AS REQUESTED
SCA14.0918,2014-10-11,Minor,,,"[REDACED 1] disclosed to OSSTT worker that she found sexualised drawings her son,[REDACTED 2], drew. Son denied doing the drawings and said that it was his friend, [REDACTED 3], who drew them."
SCA14.0142,2014-03-26,Minor,Fighting,OPC3 - SAFs,"It was about 2:00pm. Rec staff started movie in the 'Rec' tent. At same time [REDACTED 1] and one of another client was arguing with each other about closing their tent. [REDACTED 1] came to ""Rec"" staff and told them to close the tent. Rec staff replied [REDACTED 1] that we can't close because of security and hot weather reason. Then [REDACTED 1] went to ask [REDACTED 2] to talk to her to close the tent but she ignored. [REDACTED 1] went to security for the situaation. And then security and [REDACTED 1], [REDACTED 2] came and talking about situation and same time [REDACTED 1] came and start arguing with [REDACTED 2] and slapt her. Then they start fighting."
SCA14.0196,2014-03-18,Information,Theft,"RPC3, AREA 1","[REDACTED 1] TENT 17.10 AREA 1 - ADVISED THAT AT APPROX 18:15HRS HE WENT TO HIS TENT TO FIND [REDACTED 2] A MINOR TRYING TO LEAVE HIS TENT WITH A CHESS SET. ONCE [REDACTED 2] SA [REDACTED 3] APPROACE HE THREW DOWN THE CHESS SET AND FLED. WHILST TALKINH WITH [REDACTED 1] ANOTHER MINOR [REDACTED 5] TOLD ME SHE ALSO SAW [REDACTED 2] AT TENT 17:10 BELOWNGING TO [REDACTED 3]. 
 I SPOKE WITH [REDACTED 2] FATHER [REDACTED 4] WHOM CLAIMED AT TEH TIME HIS SON WAS WITH HIM. I CLARIFIED WITH STC [REDACTED 6] WHO CAN CONFIRM THAT ONLY [REDACTED 4] WAS AT THE GYM AND NOT THE SON AT THE TIME OF THE ALLEDGED INCIDENT."
SCA14.0203,2014-04-23,Information,Complaint,,[REDACTED 1] & [REDACTED 2] approached Wilsons regarding their broken ID badges.The transferees complained they had put several requests in for new ID crds but still have not received them.
SCA14.0001,2014-01-04,,Illness,,Child had a toilet accident while in internet room and looked in pain. Child taken to IHMS.
SCA14.0458,2014-07-15,Information,,,Report by [REDACTED] about cockroaches and mice in his room. Also seen crawling underneath his shirt and his in child's hair.
SCA14.0476,2014-07-19,Information,,,Client [REDACTED] showed SCA Worker 2 x red bongo drums that she stated a Australian guard gave her
SCA14.0477,2014-07-19,Information,,,SCA worker witnessed client [REDACTED] (minor) being bounced on a local CSO lap and being whispered into their ear. Client refused to get of CSO lap when as by the SCA worker.
SCA14.0638,2014-08-23,Minor,,,"[REDACTED] and another asylum seeker advised writer that floor between their tents was becoming uneven, and that it is a trip hazard for children. Children have already tripped."
SCA14.1033,2014-08-23,Information,Concern for minor raised,RPC3 Area 3 Tent 51.4 and 51.5,Floor in tent is uneven and children have previously tripped.
SCA14.0666,2014-08-26,Information,,,Complaint about behaviours of CSO [REDACTED] in front of clients
SCA14.0875,2014-10-06,Minor,,,"[REDACTED] appeared at the school despite not being school age, Some high school boys told the teacher that she had missed her bus. Early Ed Coordinator collected her from the school, CSPW met with her and her parents after incident."
SCA14.0885,2014-10-07,Information,Bullying & Harrassment,RPC3 AREA 1,"ON 7 OCTOBER [REDACTED 1] ADVISED THAT ON 6 OTCOBER 2014 SHE WAS AT THE GYM AND [REDACTED 2] AND TWO OTHER ASYLUM SEEKERS (ID'S START WITH HFM AND CRI) AND BULLIED HER AT THE GYM. PLACE [REDACTED 1] ADVISED THAT [REDACTED 2] HIT HER ON THE HAND. [REDACTED 1] ADVISED SHE TOLD THEM THAT SHE WAS GOING TO GO TO SECURITY AND THEY TOLD HER THAT SHE WAS HAVING 'JIGGY JIGGY' WITH WHISKEY THREE. [REDACTED 1] STATED THAT THEY WERE IMPLYING THAT SHE WAS HAVING SEX WITH THE SECURITY GUARDS. [REDACTED 1] STATED TO ME THAT SHE WAS 'BETTER OFF DEAD THAN LIVING'. WHEN ASKED, [REDACTED 1] STATED THAT SHE WAS NOT GOING TO HURT HERSELF AND DID NOT THINK ABOUT KILLING HERSELF. [REDACTED 1] STATED THAT SHE HAD BEEN CRYING ECERY NIGHT. [REDACTED 1] ADVISED SHE HAD THOUGHT ABOUT RUNNING AWAY AND ESCAPING OVER THE BACK FENCE OF AREA 3 WITH HER DAUGHTER. [REDACTED 1] ADVISED THAT SHE WOULD NOT DO THIS BUT SHE THOUGHT ABOUT DOING IT REGULARLY."
SCA14.0908,2014-10-09,Information,SELF-HARM THREAT,RPC3 AREA 1,"[REDACTED 1] ADVISED THAT SECURITY HAD ENTERED HER ROOM YESTERDAY AND ASKED IF SHE HAD HAD SEX WITH WHISKEY THREE AND ASKED HER TO SIGN A PIECE OF PAPER TO SAY THAT HAD NOT HAPPENED. [REDACTED] STATED THAT THIS WAS VERY EMBARRASSING, MADE HER FEEL BAD ABOUT HER SELF AND THERE WAS NO POINT IN LIVING IF PEOPLE WERE TREATING HER SO POORLY. SHE PROVIDED EXAMPLES LIKE BULLYING AND ASSAULT BY OTHER ASSYLUM SEEKERS. [REDACTED] ADVISED TODAY THAT ALONG WITH SECURITY COMING TO HER TENT, THE ASSAULT BY THREE OTHER ASYLUM SEEKERS AND THE BULLYING THAT SHE HAS BEEN EXPERIENCING OVER A PERIOD OF TIME HAD MADE HER FEEL LIKE THERE WAS NO POINT IN LIVING. I ASKED [REDACTED] IF SHE FELT LIKE KILLING HERSELF AND [REDACTED] STATED THAT HER 'UNCONCIOUS MIND TOOK OVER' AND THAT SHE WAS UNABLE TO CONTROL HERSELF WHEN THE UNCONCIOUS MIND WAS PRESENT. [REDACTED] STATED THAT SHE WAS BETTER OF DEAD AND THAT SHE KNEW HER DAUGHTER WOULD BE LOOKED AFTER IF SHE KILLED HERSELF. [REDACTED] DID NOT IDENTIFY HOW SHE WOULD KILL HERSELF. [REDACTED] WAS ASKED IF SHE WANTED TO SEEK SUPPORT FROM MENTAL HEALTH. [REDACTED] STATED THAT ""THERE ISNO POINT BECAUSE THEY TELL US THAT THEY CANT DO ANYTHING TO HELP'. I ADVISED THAT I WOULD HAVE TO PROVIDE THIS INFORMATION TO OTHER STAKEHOLDERS IN ORDER TO ENSURE HER SAFETY. [REDACTED] STATED THAT HAVING SECURITY WATCH OVER HER 'WAS LIKE PUSHING SOMEONE DOWN WHEN THEY WERE DROWNING'."
SCA14.1066,2014-11-16,Minor,,,SWEARING AT CASE MANAGER AND CURSING AUSTRALIAN GOVERNMENT
SCA14.1163,2014-12-07,Minor,,,"CHN [REDACTED 1] was giving a toddler food pack to [REDACTED 2] IN TENT 79 Area9 (accompanied by a Wilsons Security Officer). [REDACTED 3] came out of his room and demanded his child have food delivered as the food in the Mess was no good and his child would not eat it. I explained the food I had was for children under 2 yrs old. [REDACTED 3] raised his voice and started jabbing his index finger in my direction telling me it was my job to get his child food and write letters to the mess and DIBP saying the same. I was attempting to give [REDACTED 2] information and asked [REDACTED 3] to wait until I had finished what I was doing. I then tols [REDACTED 3] if he insisted on yelling at me there would be no more conversation, [REDACTED 3] continued to yell and jab his finger in my direction. I informed [REDACTED 3] that the conversation was over and I was leaving. [REDACTED 3] yelled at me saying it was my job to fix the problem and I needed to write to DIBP today. I replied that it was not my job and he could submit a complaint form. I again said this conversation is over and I left the tent."
SCA14.0029,2014-01-18,Minor,Misbehaviour,RPC3,"At the time and place above whilst performing W3 tasks [REDACTED 1] approached at Fox 1 and asked me to join in a discussion with [REDACTED 3] from STC and an interpreter.
 [REDACTED 1] showed us some bruises on her and specifically a large bruise/mark on her lower leg where [REDACTED 2] had bitten her yesterday 17/1/2014. There was no sign of the skin being broken.
 [REDACTED 1] has clearly stated she is not coping with [REDACTED 2] and his behaviour, she is asking both Wilson's and STC to help her.
 [REDACTED 3] asked to see [REDACTED 2]. WE found his sitting on the ground by himself outside 2.2. [REDACTED 2] was given a talking to by Richard and was told that his behaviour was not acceptable.
 [REDACTED 1] and [REDACTED 2] have a MH appt at 1500hr today. [REDACTED 2] has requested a STARS appt for them both. She initially requested 2 months ago."
SCA14.0030,2014-01-18,Information,,RPC3,"At the above time & date I was informed by Whisky 3 that [REDACTED 1] & his wife [REDACTED 2] were at OPC1 for CAPS without their children [REDACTED 3] & [REDACTED 4].
 [REDACTED 1] went offsite @ 1100hrs. [REDACTED 2] went offsite @ 1115hrs. The children [REDACTED 3]& [REDACTED 4] went offsite @ 1023hrs on internet excursion prior to parents leaving & returned @ 1215hrs"
SCA14.1242,2014-03-21,Minor,ASSAULT ON MINOR,"RPC3, AREA 11","[REDACTED 1] GRABBED MY HAND AND SAID ""COME"". WE WALKED OVER TO HER DAUGHTER [REDACTED 2] AND GRABBED HER HAD. [REDACTED 1] WAS SHOUTING IN FARSI THEN SAID IN EGLISH, ""SHE IS DRIVING ME CRAZY"". [REDACTED 1] THEN SLAPPED [REDACTED 2] WITH AN OPEN PALM TWICE."
SCA14.0465,2014-07-18,Information,,,Client [REDACTED] (minor) expressed thoughts of suicide to teacher at school.
SCA14.0685,2014-08-29,Minor,,,"Writer went to talk to [REDACTED]. He stated he wants to ""be in a grave""."
SCA14.0700,2014-09-01,Information,,,"Mehran dropped his glasses on rocks at school, they broke and the empty frames were returned to him. His case manager has been contacted to request a replacement pair"
SCA14.0823,2014-09-29,Information,,RPC1 - School,"[REDACTED 1] told [REDACTED 2] and I today that he and other people in RPC3 have been told that Wilson's ""big boss"" has said for security guards to hurt/kill people when ""the cameras are turned off"". [REDACTED 1] has not heard this said directly by a security employee but he says ""everbody"" knows that is what Wilson's have been told."
SCA14.0824,2014-09-29,Minor,Program Issue,RPC1 - School,"[REDACTED 1] was walking through the new barracaded area outside the interpreters room and was asked several times to stop. When he asked why, he says the guard pushed him away (on his back.) [REDACTED 2] (interpreter) witnessed the push and says [REDACTED 1]'s sunglasses fell of his head with the force of the shove. [REDACTED 1] fell to the ground. [REDACTED 2] said the *illegible* office of interpreters stood up in surprise. [REDACTED 2] reported this to *illegible* immediately."
SCA14.0831,2014-09-30,Minor,,,Student allegedly ate chocolate biscuits that were made in class and left in fridge in staff area overnight.
SCA14.0860,2014-10-03,Information,INFORMATION,"RPC1, BUS",[REDACTED] TOLD ME THAT HIS FRIEND IN RPC3 WAS TOLD BY THE DENTIST THAT HE NEEDS TO PAY FOR HIS TREATMENT
SCA14.0868,2014-10-05,Information,INFORMATION,RPC1,"I HAVE BEEN VISITING [REDACTED] DURING THE WEEK WHILE HE HAS BEEN IN ISOLATION AS HE IS IN MY CLASS. THROUGHOUT THE WEEK HIS ABILITY TO CONCERNTRATE ON BASIC LEARNING ACTIVITIES AND CONVERSATIONS HAS REGRESED AND YESTERDAY (4/10), HE EXPRESSED FEARS THAT HE IS NOT GETTING BETTER AND THAT HE IS WORRIED HE WILL DIE IN NAURU. HE HAS PREVIOUSLY EXPRESSED THE DESIRE NOT TO BE JOINING THE OTHER CLIENTS UNTIL HE IS BETTER AS HE DOES NOT THINK HIS HEALTH IS STRONG ENOUGH."
SCA14.0881,2014-10-07,Minor,,,Students witnessed a simulation exercise happening in the IHMS ambulance bay. The simulation caused students to start talking about self-harm they had witnessed previous. Teachers were not informed it was a simulation and could not therefore calm students.
SCA14.0937,2014-10-14,Information,Concern for minor raised,"RPC1, SCHOOL",CONCERN FOR CHILDRENS WELBEING
SCA14.1071,2014-11-18,Major,,,Disagreement and fight escalated between 2 students
SCA14.1088,2014-11-20,Minor,INFORMATION,RPC1 school,[REDACTED] WAS WITHDRAWN FROM SCHOOL AND WAS UNABLE TO WORK. THE CM WAS NOTIFIED
SCA14.1105,2014-11-25,Minor,Concern for minor raised,"RCP1, SCHOOL",[REDACTED] WAS FEELING WORRIED AND SICK AND WANTED TO GO HOME TO SLEEP. CM WAS ADVISED AND DISCUSSED WITH FATHER
SCA14.1106,2014-11-25,Minor,Concern for minor raised,"RCP1, SCHOOL",[REDACTED] WAS WITHDRAWN FROM SCHOOL AND WAS UNABLE TO WORK. THE CM WAS NOTIFIED
SCA14.0012,2014-01-09,Minor,Misbehaviour,,[REDACTED 1] was caught by Teacher [REDACTED 2] writing on bus seat. Denied doing it even though he was caught in the act.
SCA14.0208,2014-05-01,Minor,Bullying & Harrassment,,"[REDACTED 1] bit a boy, [REDACTED 2] on the arm for no apparent reason."
SCA14.0808,2014-09-28,Information,Program Issue,RPC3,"I was asked on Friday (26-9-2014) by a fellow teacher [REDACTED 1] if I would sit with an asylum seeker [REDACTED 2] who was sobbing. She is a classroom helper for the children. A secondary teacher assistant [REDACTED 3] was present.
 She talked about several situations, some from Christmas Island, some from RPC3.
 She reported that she has been asking for a 4 minute shower as opposed to 2 minutes. Her request has been accepted on condition of sexual favours. It is a male security person.
 She did not state if this has or hasn't occured. The security officer wants to view a boy or girl having a shower."
SCA14.0046,2014-02-02,Minor,Fighting,,[REDACTED 1] called to dispute (urgument) between [REDACTED 2] and [REDACTED 3] ([REDACTED 2] mother-[REDACTED 3] daughter)
SCA14.1240,2014-03-01,Minor,ASSAULT,"RPC3, FOXTROT14","AT RPC3, SECURITY WAS PRIVIDING SECURITY NEAR THE PLAYGROUND WHERE 20-25 CHILDREN WERE PLAYING. ONE OF THE CHILDREN [REDACTED], THREW A ROCK THE SIZE OF A GOLF BALL TOWARSS ME, THE ROCK HIT ME ON THE HEAD."
SCA14.0018,2014-01-15,Minor,Complaint,RPC3,"CSPWs were speaking with two Malay families who had some serious concerns about how their neigbours treat them. [REDACTED] detailed numerous incidents of bullying including the other family wetting the floors with water in the middle of the tents so the children slip over, playing loud music late at night, yelling at [REDACTED] at 10am for talking outside tents. At this point [REDACTED] explained ""I will hang myself"" and displayed a choking action with her hands. This threat was done in a joking manner as [REDACTED] was laughing afterwards with CSPWs. Although this was done it a manner of joking, it is clear that the particular family in their tent row is causing significant frustration."
SCA14.0306,2014-06-17,Major,,,"UAM [REDACTED] was playing on soccer field and tripped over, breaking his arm. Escorted to IHMS."
SCA14.0269,2014-05-30,Minor,,,on 30/05/142310hrs While UAMs returning from OPC1 to OPC3 [REDACTED 1] verbaly abused twice. He was told to watch his language by the aid but he retorted with a barrage of verbal dialogue in a language unknown to CSO [REDACTED 2]
SCA14.0085,2014-03-03,Information,Complaint,Nauru College,"School was burning rubbish in metal drums, evidence of plastic, cardboard and other toxic items being burnt.
 Smoke went into the music classroom, students had to leave room due to eyes and throat being irritated.
 One student, [REDACTED], needed water drops for her eyes."
SCA14.0086,2014-03-03,Minor,Complaint,Nauru College,"All students refused to eat the sandwiches which were supplied by TF.
 TA's tried to calm the group and offered cheese/crackers/biscuits/juice.
 Several students became quite upset and angry at the thought their issues/complains are not being heard.
 It took over an hour to calm students down. Several left without eating at all."
SCA14.1248,2014-04-20,Minor,ANTISOCIAL BEHAVIOR,"RPC3, AREA11",CSO [REDACTED 1] SAW [REDACTED 2] THROWING ROCKS IN THE PLAYGROUND. CSO [REDACTED 1] APPROACHED [REDACTED 2] AND ASKED HIM NOT TO THROW ROCKS. AT THIS TIME [REDACTED 1] WAS CALLED OVER TO THE TABLES AND WAS INFORMED THAT [REDACTED 3] HAD BEEN HIT ON THE HEAD WITH A ROCK.
SCA14.0479,2014-07-20,Information,,,"Inconsistency in Security Operation of Infant showering area in RPC3 Area 9 - Block 6, misuse of water, slip hazards etc."
SCA14.0487,2014-07-21,Minor,,,[REDACTED] made threatening gesture to SCA worker after removing food from a communal fridge in RPC3 Area 9 while clients wife and small child were present
SCA14.1115,2014-11-27,Minor,,,Child who was unwell was left unattaended by parents while they attended IHMS
SCA14.1177,2014-12-11,Minor,,,UNACCOMPANIED MINOR FOUND BY SCA STAFF
SCA14.1187,2014-12-14,Information,,,CONCERN THAT ASYLUM SEEKERS ARE ABLE TO EASILY REQUEST MEDICATIONS AND HIDE THEM AWAY FOR OTHERS TO USE
SCA14.1009,2014-10-28,Minor,Concern for minor raised,"RPC3, AREA 9",ASYLUM SEEKER SUBMITTED REQUESTS WANTING TO TALK TO IMMIGRATION AND WAS VERY UPSET THAT HIS REQUEST HAVE NOT BEEN RESPONDED TOO
SCA14.0619,2014-08-20,Major,Bullying & Harrassment,RAP - Fly Camp,"CW [REDACTED 1] me with [REDACTED 2] at 1200hrs; during his lunch break at [REDACTED 3] with [REDACTED] interpreter [REDACTED 4].
 [REDACTED 2] reported the following:
 - He is being threatened with sexual and physical violence by men at Fly Camp
 - The threats have been made face-to-face
 - The bullying occurs from when he returns to Fly Camp from work until early hours of the morning (2am-3am)
 - He was recently (date uknown) involved in a physical altercation at Fly Camp whereby he was hit in the head; he intended to report the incident to the Police however said he was talked out of doing so by older refugees.
 - Due to the harassment and threats he is unable to use the cooking facilities at Fly Camp; he is subsequently missing meals, specifically breakfast and dinner
 - He is feeling vulnerable and unsafe at Fly Camp and does not want to return there"
SCA14.0801,2014-09-28,Information,Complaint,RPC3 - Area 1,"[REDACTED] was speaking to CPSW about his protesting (IR dated 27.09.2014) and the reasons why he has chosen to sew his lips together. [REDACTED] explained that he feels discriminated against and security at OPC3 aggravate/antagonise himself and others to make them feel angry and react.
 [REDACTED] said last night during the protesting, the guards turned off their camera and antagonised asylum seekers. [REDACTED] described the guards jumping up and down and laughing at them; while the cameras were off. [REDACTED] said once the asylum seekers started to react and feel angry they turned the cameras on again."
SCA14.1038,2014-11-01,Information,,"RPC3, AREA 9","ON 30.10.2014 CPSW MET WITH [REDACTED 1] AND SHARIFA (HFM018) WITH BURMESE INTERPRETER. [REDACTED 1] REPORTED THAT HE HAS MADE SEVERAL REQUESTS TO SPEAK WITH DIBP REGARDING HIS FAMILIES SITUATION ON NAURU.
 DURING THE DISCUSSION [REDACTED 1] EXPRESSED FRUSTRATION THAT HIS REQUESTS TO MEET WITH DIBP HAVE NOT BEEN RESPONDED TO. 
 [REDACTED 1] STATED THAT THE FRUSTRATIONS IN HIS MIND SOMETIMES LEAD TO THOUGHTS OF KILLING HIS CHILD [REDACTED 2]
 CPSW ASSESSMENT OF [REDACTED 1] HAD NO PLANS OR INTENT TO HARM OR KILL HIS SON."
SCA14.1048,2014-11-06,Minor,,,Multiple cuts observed on insides of arms between wrists and elbows. [REDACTED] has informed Case Worker thst he cuts himself as he is bored and has thoughts on self harm and suicide.
SCA14.1178,2014-12-11,Major,,,WITNESS AN ADULT MAN PULL A YOUNG GIRL HAIR AND SLAP HER ON THE BACK
SCA14.1179,2014-12-11,Minor,,,"MENTIONED ""SOMETIMES I CONSIDER KILLING MYSELF"""
SCA14.0706,2014-09-02,Information,,RPC3 - Area 1,"Gelvizh spoke about RSD hand-downs. She stated that clients were receiving decisions even though they had arrived on Nauru severl flights after her. [REDACTED 1] stated something to the effect of ""other clients cut themselves, [REDACTED 2] and I know how to do this too.""
 *Please not that the client did not make any direct threats*"
SCA14.1172,2014-12-10,Minor,,,[REDACTED 1] and [REDACTED 2] had a disagreement while at school. [REDACTED 1] scratched [REDACTED 2]s neck leaving scratch marks. [REDACTED 1] was removed from the class room. [REDACTED 2] was given a cold compress for his neck
SCA14.1214,2014-12-23,Major,,,[REDACTED 1] AND [REDACTED 2] WHERE FIGHTING AND THROWING ROCKS AT EACH OTHER SCA STAFF USED REASONABLE FORCE TO SEPARATE THEM. [REDACTED 2] WAS THEN SAT IN AN OFFICE TO SEPARATE THEM
SCA14.0041,2014-01-31,Information,,,CSO [REDACTED 1] was approached by tranferee [REDACTED 2] who stated that his son [REDACTED 3] told him that local guard on foxtrot 3 had kicked his son. Foxtrot 3 [REDACTED 4] denied he had kicked the child. The father of [REDACTED 3] explained that the playground was out of bounds AND THAT THE GUARD WAS DOING HIS JOB TO REMOVE THE CHILD.
SCA14.0243,2014-05-15,Minor,,,"At 1855 SCA [REDACTED 1] was waiting for [REDACTED 2] to return from the mess. As [REDACTED 2] walked through the gate, [REDACTED 1] in a friendly manner softly kicked him up the bum and said let's go in Farsi. While preceding to the UAM compound, [REDACTED 1] patted UAM [REDACTED 2] on the back and then [REDACTED 2] picked [REDACTED 1] up off the ground in a friendly manner while laughing. Wilson Security [REDACTED 3] witnessed these events. At 17.10, [REDACTED 1] asked [REDACTED 2] to attend a general discussion with an interpreter but he refused. [REDACTED 2] saw the case that [REDACTED 1] had documented and mehdi immediately escalated in behaviour while continuing to state don't write about me I thought we were friends. UAM [REDACTED 2] stated that due to [REDACTED 1] writing case notes about him, he would file a complaint about walking back from the mess. [REDACTED 2] completed a transfield request/complaint form which he submitted into the box in the rec tent."
SCA14.0206,2014-04-28,Information,,,SCA worker [REDACTED 1] found [REDACTED 2] working out in closed gym by himself.
SCA14.0218,2014-05-06,Not Rated,Complaint,,"11 female clients missed out on a women only excursion - they were crying and very upset. [REDACTED 1] stated her and her friends waited the longest but Iranians pushed through and were given preference. She stated it is because ""I am black""."
SCA14.0732,2014-09-12,Major,,,[REDACTED 1] disclosed to caseworker that he is having thoughts of suicide and showed caseworker three cigarette burns on left hand.
SCA14.0023,2014-01-17,Information,Misbehaviour,RPC3,"10.00am this morning school school bus #2 was @ gate. Alfa 3 being scanned out. CSO [REDACTED 1] was organising cards for security when the drive [REDACTED 2] said there was a fight @rear of bus. CSO [REDACTED 1] turned to see but his view was blocked by Security & SCA @ rear. As [REDACTED 1] was blocked in he asked security to grab child. Security brought [REDACTED 3] to front of bus where he was kept by [REDACTED 1] (CSO) til bus turned around & went back to camp. SCA stayed with [REDACTED 4] @ rear of bus. Both were removed back @ camp 3. IHMS was present so they looked at scratch on the face of [REDACTED 4], all was ok & [REDACTED 4] was put back on bus & it left for school - minus [REDACTED 3]"
SCA14.0334,2014-06-24,Minor,,,"[REDACTED 1] popped plastic near [REDACTED 2]'s ear, causing her to cry"
SCA14.0351,2014-06-27,Information,,,Local student taking photos of [REDACTED] on camera phone at Nauru College. Principal confiscated phone and deleted photos.
SCA14.0670,2014-08-27,Information,,,Client dropped ID card out of window of bus. Unable to locate.
SCA14.0159,2014-04-03,Minor,Complaint,,[REDACTED] had misunderstanding with Wilson security regarding a additional internet session
SCA14.0290,2014-06-11,Information,SELF-HARM THREAT,,"On 11 June at 1420 [REDACTED 1] stated to CM [REDACTED 2] ""I really can't take this anymore; I will kill myself"". The conversation was based on [REDACTED 1] and her mother's (TIB016) recent move from area 33, 8 to area 3, 44. [REDACTED 1] stated that she is not happy about the change to her accommodation and how she has been treated by SCA."
SCA14.0525,2014-07-28,Information,,,[REDACTED] had his razor stolen from the shower room
SCA14.0533,2014-07-29,Information,,,[REDACTED] threatened self harm if a complaint she had made against a security officer was not addressed
SCA14.0462,2014-07-17,Information,,,[REDACTED] noted to be not present when waiting to go to IHMS. Tent search conducted and [REDACTED] not found. Found heading to echo checkpoint and returned to UAM compound by Wilsons.
SCA14.0748,2014-09-17,Minor,,,"Caseworkers and interpreter spoke with [REDACTED 1] about incident at school bus stop where she was aggressive towards [REDACTED 2]. [REDACTED 1] stated that if her child was bullied again she would react in a more severe manner. At end of meeting, caseworker witnessed [REDACTED 1] being physically aggressive towards her husband [REDACTED 3]"
SCA14.0779,2014-09-26,Major,Suicidal Ideation,RPC1 - SAA,7:05pm I attended SAA to meet with [REDACTED] family. [REDACTED 1] was at SAA to support his wife [REDACTED 2]. [REDACTED 3] was present whilst I spoke to [REDACTED 1]. [REDACTED 3] acted as an interpreter for [REDACTED 1] where needed.[REDACTED 1] stated that the family did not want to engage with IHMS metnal health services. [REDACTED 1] stated that if the family were fored to engage with IHMS mental health he would kill himself. [REDACTED 3] repeated this comment including herself in the statement. I stopped the conversation at this point and informed [REDACTED 1] I would arrange an interpreter as soon as possible to discuss this alone. This information was passed on to Wilson's guard [REDACTED 4] (based at the SAA) and SCA Senior worker [REDACTED 5].
SCA14.0964,2014-10-20,Minor,,,"[REDACTED] return to tent with his mother after negative hand down. [REDACTED] was visibly upset, found metal rod and swung it around, hitting ground."
SCA14.0987,2014-10-23,Minor,,,[REDACTED] stated that is he and his mother were to return to RPC3 he would kill himself
SCA14.1000,2014-10-27,Minor,,,"Case worker met with [REDACTED 1] who said he was worried about his pregnant wife [REDACTED 2] as she is exhausted, no longer has self control and is concerned for her safety and the unborn child's safety as [REDACTED 2] has attempted suicide in the past."
