ref,date,reclassified,"riskRating",category,details
SCA15.0331,9/5/2015,NO,MINOR,Abusive / Aggressive Behaviour,"A GROUP OF CHILDREN WERE RUNNING AND PLAYING A CHASE GAME WITH [REDACTED] (SCA. [REDACTED] RAN TO THE BACK LEFT ROOM OF THE RECREATION TENT AND THE GROUP OF CHILDREN FOLLOWED. [REDACTED] WAS CONCERNED BY THE GROUP OF CHILDREN WHO BEGAN TO GET PHYSICALLY AGGRESSIVE. [REDACTED] STATED ""THAT IS ENOUGH NOW GUYS"". FOLLOWING THIS [REDACTED] ([REDACTED]) GRABBED [REDACTED] ON THE GENITALS. WITHOUT USING EXCESSIVE FORCE, [REDACTED] USED HIS ARMS TO GUIDE [REDACTED] AWAY FROM HIM. WHILST THIS WAS HAPPENING, [REDACTED] BIT [REDACTED] ON THE FOREARM. THIS INCIDENT WAS WITNESSED BY [REDACTED] (SCA) AS HE WAS BACK UP THE GYM NEXT TO THIS ROOM."
SCA15.0332,10/5/2015,NO,MINOR,PROPERTY DAMAGE,"UPON ARRIVING AT THE RECREATION TENT AT 12:45PM, SCA STAFF MEMBER DISCOVERED THREE CHILDREN PLAYING WITH A MONOPOLY BOARD GAME IN THE BACK ROOM OF THE TENT. THREE OTHER BOARD GAMES WERE STREWN AROUND THE BACK ROOMS OF THE RECREATION TENT WITH MISSING PIECES AND BROKEN BOXES. STAFF SUSPECT THESE GAMES WERE TAKEN FROM THE LOCKED YOUTH STORE ROOM IN THE RECREATION TENT (HOLES EXIST IN THE MESH WIRE ROOFING). CHILDREN WERE TOLD/ REMINDED THEY ARE NOT ALLOWED IN THE REC TENT WITHOUT SCA STAFF"
SCA15.0333,10/5/2015,NO,MINOR,Abusive / Aggressive Behaviour,AT 16:45 [REDACTED] INFORMED SCA WORKER [REDACTED] THAT DURING THE INTERNET SESSION [REDACTED] PUSHED HER IN THE BACK AND PINCHED HER ARM. SCA WORKER [REDACTED] DID NOT WITNESS THIS BUT OBSERVED THAT [REDACTED] WAS UPSET AND CRYING. SCA WORKER [REDACTED] ASKED [REDACTED] IF HE HAD PUSHED [REDACTED] AND PINCHED HER ARM. [REDACTED] TOLD SCA WORKER [REDACTED] YES AS [REDACTED] WAS TOUCHING THE PRINTER. SCA WORKER [REDACTED] ASKED [REDACTED] TO LEAVE THE SESSION AND [REDACTED] TOLD SCA WORKER [REDACTED] ‘I AM NOT FUCKING LEAVING’. SCA WORKER [REDACTED] THEN ASKED WILSONS GUARDS TO REMOVE [REDACTED] AND TO CALL WHISKY TO FIND [REDACTED] [REDACTED] ’S FATHER. SCA WORKER [REDACTED] OBSERVED THAT [REDACTED] DID NOT NEED MEDICAL ATTENTION AND SCA WORKERS [REDACTED] AND [REDACTED] SPOKE TO [REDACTED] ’S FATHER [REDACTED] ABOUT THE INCIDENT. SCA WORKER [REDACTED] WILL BE SPEAKING TO [REDACTED] ABOUT HIS BEHAVIOUR TOWARDS [REDACTED] .
SCA15.0334,10/5/2015,YES,MINOR,Abusive / Aggressive Behaviour,AT 7:05PM SCA WORKER [REDACTED] WITNESSED [REDACTED] HIT HIS SON [REDACTED] ONCE IN THE HEAD WITH A TOY GUN AND AGAIN IN THE HEAD WITH HIS HAND. THESE APPEARED TO BE QUITE FORCEFUL AS THEY WERE HEARD FROM THE OTHER SIDE OF THE RECREATION TENT. SCA WORKER THEN WITNESSED [REDACTED] DRAG [REDACTED] INTO THE PRAYER ROOM BEHIND THE CURTAIN. AT THIS POINT THE SCA WORKER COULD HEAR [REDACTED] SCREAMING. THE SCA WORKER THEN ASKED WILSON'S POST 14 OUTSIDE THE RECREATION TENT TO FOLLOW UP. SCA WORKER DID NOT SEE [REDACTED] AFTER THIS INCIDENT.
SCA15.0335,11/5/2015,NO,MINOR,Self-Harm Threat,"AT APPROX 14:30 HRS ON 11/05/2015, SCA CW [REDACTED] MET WITH [REDACTED] OUTSIDE THE CANTEEN IN RPC3. ALSO PRESENT WAS [REDACTED] (CULTURAL ADVISOR), [REDACTED] (WHISKEY 3) AND ANOTHER FEMALE [REDACTED] ASYLUM SEEKER. [REDACTED] ADVISED SHE WANTED TO RELOCATE FROM AREA 3 TO AREA 1, STATING THERE IS SPACE IN TENT 10. SHE WAS ADVISED BY CW [REDACTED] THAT THIS HAS NOT BEEN APPROVED AND THAT AN OPTION HAS COME UP FOR HER TO MOVE INTO TENT [REDACTED] IN AREA [REDACTED]. [REDACTED] STATED SHE DID NOT WANT TO MOVE TO ANOTHER TENT IN AREA 3, AND STATED THAT SHE FELT HUMILIATED THAT SHE COULD NOT MOVE INTO TENT [REDACTED] IN AREA 1. SHE STATED THAT IF SHE WAS NOT ABLE TO MOVE TO TENT [REDACTED] SHE MIGHT DO SOMETHING, BOTH CW AND WHISKEY 3 CONTACTED BEHAVIOURAL MANAGEMENT TO ENQUIRE IF [REDACTED] WILL NEED TO BE PLACED ON WATCH. SHE WAS ADVISED THAT AS [REDACTED] DID NOT MAKE ANY SPECIFIC THREATS TOWARDS HERSELF OR ANY OTHER PERSON THIS WOULD NOT BE REQUIRED."
SCA15.0336,11/5/2015,NO,MINOR,Abusive / Aggressive Behaviour,"TONIGHT AT 20:35, [REDACTED] CONFIDED IN SCA STAFF MEMBER [REDACTED] REGARDING AN INCIDENT WHICH OCCURRED ON SATURDAY 9TH MAY 2015 AT 18:00PM. [REDACTED] STATED THAT[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED] AND HERSELF WHERE SITTING ON TOP OF THE GREEN SHADE CLOTH OUTSIDE THE RECREATION TENT WHEN WILSON'S SECURITY GUARD [REDACTED] APPROACHED THE CHILDREN AND PROCEEDED TO CUT THE SHADE CLOTH RESULTING IN THE CHILDREN FALLING TO THE GROUND FROM A HIGH DISTANCE. [REDACTED] STATED WILSON'S SECURITY GUARD [REDACTED] THREATENED [REDACTED] WITH A STICK AND THEN PROCEEDED TO PUSH HER RESULTING IN [REDACTED] FALLING TO THE GROUND."
SCA15.0337,12/5/2015,NO,MINOR,ACCIDENT/INJURY,"[REDACTED] 5 YRS OLD RETURNED TO THE BUS AFTER DROP OFF WITH A CUT HAND. I TOOK HIM TO ECHO TENT BESIDE THE BUS STOP FOR FIRST AID. I DID NOT WITNESS THE INJURY OCCUR, HOWEVER A BUS DRIVER REPORTED SEEING [REDACTED] 7 YRS OLD PUSH [REDACTED] DOWN THE HILL."
SCA15.0338,13/5/2015,YES,MINOR,Antisocial Behaviour,"[REDACTED] WAS DISCUSSING AN INCIDENT WITH ME WHERE HE AND OTHERS HAD BEEN CLIMBING ON SHADE CLOTH. HE SAID THAT A GUARD (MONA) WAS ASKING HIM TO GET DOWN AND PUSHED HIM IN THE BODY. HE SAID SHE CUT THE SHADE CLOTH THAT HE AND OTHER STUDENTS [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED] AND [REDACTED] WERE CLIMBING ON WHICH MADE THEM FALL ONTO THE ROCKS. I ASKED ANOTHER OLDER CHILD WHO[REDACTED] SAID WAS PRESENT [REDACTED] OF THE SEQUENCE OF EVENTS, HIS STORY WAS DIFFERENT TO [REDACTED]'S AS HE SAID THE CHILDREN WERE BEING NAUGHTY AND THE GUARD DID NOT PUSH THEM. [REDACTED] SAID THE INCIDENT HAPPENED ON SATURDAY 9/5/15."
SCA15.0339,13/5/2015,YES,MAJOR,Self-Harm Threat,"ON 13/05/2015 AT 11:00AM CW [REDACTED] WAS SPEAKING WITH ASYLUM SEEKER [REDACTED] AGE 15YRS IN HER TENT (7) LOCATED IN AREA 1 OF RPC3. CW WAS FOLLOWING UP WITH [REDACTED] IN RELATION TO HER NOT ATTENDING SCHOOL YESTERDAY. [REDACTED] STATED THAT ""I AM NOT GOING TO SCHOOL, I DON'T WANT TO LEAVE MY TENT"". ""I HAVE BEEN HERE TOO LONG, I DON'T WANT TO BE HERE ANYMORE, I DON'T WANT TO LEAVE MY TENT AS I DON'T WANT TO TALK TO PEOPLE OR SEE ANYONE"". [REDACTED] STATED ""I HAVEN'T EATEN SINCE MONDAY AS I DON'T WANT TO LEAVE THE TENT TO GO TO THE MESS"" [REDACTED] STATED THAT SHE IS VERY SAD. CW OPENED A DISCUSSION IN RELATION TO THIS AND SHE ADVISED THAT ON MONDAY NIGHT SHE FOUND A RAZOR BLADE AND TOOK IT OUT OF THE GILLETTE, HER MOTHER [REDACTED] THEN CAME SO SHE THREW IT AWAY. [REDACTED] HAS SINCE REMOVED THE RAZORS FROM THE TENT. [REDACTED] STATED THAT YESTERDAY, SHE THEN FOUND SHAMPOO IN HER TENT AND WAS GOING TO MIX IT WITH BUTTER SO IT DIDN'T TASTE AS BAD, HOWEVER SHE HEARD PEOPLE SO SHE DIDN'T DRINK IT. [REDACTED] STATED THAT ""I WON'T HURT MYSELF RIGHT NOW"" CW EXPLORED HOW SHE WAS FEELING WHEN SHE UNDERTOOK THE ABOVE ACTIONS, [REDACTED] ADVISED SHE WAS FEELING VERY SAD, 9 OUT OF 10, AND RIGHT NOW 6 OUT OF 10. CW ATTEMPTED TO DISCUSS A SAFETY PLAN WITH [REDACTED] HOWEVER [REDACTED] ADVISED ""I WON'T TALK TO MUM OR MY UNCLES OR MY FRIENDS, I DON'T WANT TO TALK TO ANYONE"". [REDACTED] ADVISED SHE WOULD TALK TO CW HOWEVER CW WASN'T ALWAYS THERE. [REDACTED] ADVISED THAT IF SHE FELT THIS WAY AGAIN ""I DON'T KNOW WHAT I AM GOING TO DO"" [REDACTED] STATED SHE WOULD TALK TO PIP FROM IHMS MH IF SHE CAME TO SEE HER AS SHE DID NOT WANT TO ATTEND IHMS IN RPC1. CW THEN ASSISTED [REDACTED] IN OBTAINING 2 X PACKETS OF NOODLES AND A POPPER FROM THE CANTEEN TO ENSURE SHE HAD FOOD TO CONSUME TODAY."
SCA15.0340,14/5/2015,NO,MINOR,Bullying & Harrassment,"I MET WITH [REDACTED] IN HER TENT LOCATION WITH A TIS INTERPRETER [REDACTED]. [REDACTED] WAS VISIBLY UPSET AND CRYING. [REDACTED] TOLD ME THAT SHE WAS SCARED FOR HER SAFETY AS SHE CONTINUES TO BE BULLIED. SHE EXPLAINED TO ME THAT SHE WAS IN ENGLISH CLASS YESTERDAY AND A MAN IDENTIFIED AS [REDACTED] WAS SITTING WITH A WOMAN [REDACTED] BEHIND HER. [REDACTED] SAID [REDACTED] WAS MAKING COMMENTS TO HER SUCH AS ""YOU WALK AROUND SHOWING EVERYTHING"" ""YOU DON'T HAVE A MAN, COME AND SLEEP WITH ME, I WILL SHOW YOU EVERYTHING"" AND ""YOU ARE MAKING ALL THESE PROBLEMS, I WILL SHOW YOU WHO I AM"" ""WAIT TILL YOU GET OUT OF HERE I WILL SHOW YOU WHAT I WILL DO"" [REDACTED] WAS VERY UPSET AND CRYING LOUDLY WHEN SHE TOLD ME THIS. [REDACTED] THEN SAID AFTER CLASS [REDACTED] CAME UP TO HER AND PINCHED HER ON HER ARM IN A THREATENING WAY. [REDACTED] THEN MENTIONED SHE WANTED TO DIE. I SPOKE TO HER ABOUT IF SHE HAD THOUGHTS OF SELF HARM. SHE SAID SHE DID NOT HAVE THE MEANS OR A PLAN TO SELF HARM, HOWEVER SHE STATED SHE JUST FELT SHE DID NOT WANT TO LIVE ANYMORE AS IT IS GETTING TO HARD FOR HER. [REDACTED] MENTIONED SHE HAD BEEN BULLIED SINCE SHE ARRIVED IN NAURU. [REDACTED] SAID SHE IS FEARFUL OF LIVING IN THE CAMP AND ALSO LIVING IN NAURU AS SHE IS A SINGLE MOTHER WITH NO SUPPORT.I ASKED [REDACTED] IF SHE WOULD LIKE TO SPEAK TO MENTAL HEALTH AND SHE AGREED. I TOLD [REDACTED] I WOULD LET SECURITY KNOW SO THEY COULD KEEP AN EYE ON HER AND CHECK IN ON HER OFTEN. [REDACTED] WAS THANKFUL FOR THIS. [REDACTED] ASSURED THE CASE MANAGER SHE WOULD NOT SELF HARM"
SCA15.0341,14/5/2015,NO,MINOR,Self-Harm Threat,"ON THE 14TH MAY 2015 AT 11:30AM SCA CW [REDACTED] AND INTERPRETER [REDACTED] MET WITH [REDACTED] . [REDACTED] ASKED CW WHETHER AN APPOINTMENT HAD BEEN SCHEDULED FOR HER TO MEET DIBP TO DISCUSS RESETTLEMENT IN CAMBODIA. CW ADVISED THAT DIBP HAD SAID THEY WILL GIVE HER AN APPOINTMENT THIS WEEKEND OR EARLY NEXT WEEK. [REDACTED] THEN STATED GOOD. [REDACTED] SAID CAMBODIA IS ALL I CAN THINK ABOUT. FAMILY IN AUSTRALIA BUT CAN'T GO TO AUSTRALIA. I WAS TOLD I CAN'T GO TO [REDACTED] OR [REDACTED] WHERE I GREW UP. I WAS TOLD I CAN'T GO TO NAURU. I CAN'T GO TO BURMA. IF THEY SAY NO TO CAMBODIA ""I WILL HANG MYSELF"". CW[REDACTED] THEN ASKED [REDACTED] IF SHE HAD THOUGHT ABOUT WHERE SHE WOULD HANG HERSELF. [REDACTED] STATED ""NO"", [REDACTED] STATED ""I DON'T WANT TO DO THAT NOW, I WILL SPEAK TO IMMIGRATION FIRST. I HOPE THEY SAY YES"""
SCA15.0342,15/5/2015,NO,MINOR,Non-complaint,"CW [REDACTED] AND TIS INTERPRETER [REDACTED] SIGHTED [REDACTED] AGED 3 AT 14:45 IN HIS TENT [REDACTED] ALONE. CW ASKED [REDACTED] VIA INTERPRETER WHERE HIS MOTHER [REDACTED] AND UNCLE [REDACTED] WERE. [REDACTED] STATED THAT HE DID NOT KNOW WHERE HIS UNCLE WAS AND THAT HIS MOTHER WAS IN THE SHOWER. AT 14:50PM CW SPOKE WITH WILSON'S SECURITY OFFICER[REDACTED], AT FOXTROT 40, WHO CONFIRMED THAT BOTH [REDACTED] AND [REDACTED] WERE BOTH SIGNED OUT OF AREA[REDACTED]. CW THEN REQUESTED TO CALL WHISKEY IN ORDER TO FIND [REDACTED] AND RETURN HER TO AREA [REDACTED]. AT 14:55 CW PHONED CHILD SUPPORT AND PROTECTION CW [REDACTED] TO ASSIST. [REDACTED] RETURNED TO AREA [REDACTED] AT APPROXIMATELY 15:05PM. [REDACTED] EXPLAINED THAT SHE WAS AT THE INTERNET AS SHE RECEIVED AN UNEXPECTED CALL FROM A FRIEND ASKING HER TO CHECK A WEBSITE. [REDACTED] STATED THAT USUALLY SHE WOULD PLAN HER MOVEMENTS AND BRING [REDACTED] WITH HER. [REDACTED] THEN STATED THAT SHE HAS LEFT [REDACTED] ALONE FOR ""A SHORT TIME"" EACH DAY, IN ORDER TO GET MY THINGS DONE. CW [REDACTED] AND CW [REDACTED], WITH INTERPRETER [REDACTED] SPOKE WITH [REDACTED] ABOUT THE RISK INVOLVED IN LEAVING [REDACTED] ALONE, AND REITERATED WHY THIS IS NEITHER SAFE NOR APPROPRIATE IN THE RPC ENVIRONMENT. CW'S SPOKE WITH [REDACTED] ABOUT POSSIBLE SUPPORT OPTIONS FOR THE SUPERVISION OF [REDACTED], INCLUDING FAMILY SUPPORT FROM HER BROTHER [REDACTED]. CW'S LEFT [REDACTED] AND [REDACTED] IN TENT [REDACTED] AT 15:30"
SCA15.0343,15/5/2015,YES,MINOR,Abusive / Aggressive Behaviour,"AT 19:15 STAFF NOTICED [REDACTED] ( AGED 15) AND [REDACTED] (AGED 13) BEGINNING TO ARGUE. [REDACTED] TOOK [REDACTED] IN A HEAD LOCK AND NEITHER OF THE TWO BOYS APPEARED ANGRY INITIALLY. [REDACTED] STARTED PUNCHING [REDACTED] AND [REDACTED] ALSO PUNCHED [REDACTED] , STAFF ASKED THE BOYS TO STOP FIGHTING. ONE STAFF MEMBER SPOKE TO EACH BROTHER AND TRIED TO CONTACT THE PARENTS. BOTH BROTHERS REMAINED IN THE PROGRAM AND AGREED THEY WOULD NOT CONTINUE THEIR DISAGREEMENT"
SCA15.0344,16/5/2015,NO,MAJOR,Assault on a Minor,"PRIOR TO CHILD AND YOUTH MOVIE NIGHT SESSION COMMENCING [REDACTED] AGED 5) WAS BANNED FROM THE EVENING SESSIONS DUE TO ACCESSING THE STORE ROOM WITHOUT PERMISSION AND DAMAGING RESOURCES(AS PER SCA'S PROGRAM BEHAVIOUR PROTOCOLS) SCA HAD SPOKEN TO [REDACTED] AND HER FATHER [REDACTED] REGARDING THE BAN. WILSON'S AT THE GATE OF THE RECREATION AREA WAS INFORMED OF THE BAN AND ASKED TO STOP [REDACTED] FROM ENTERING THE AREA. [REDACTED] ARRIVED AT THE SESSION IN THE RECREATION TENT AND SAT ON A CHAIR. [REDACTED] (SCA) SPOKE WITH [REDACTED] AND ASKED HER TO LEAVE THE RECREATION TENT DUE TO HER BEHAVIOUR EARLIER THAT DAY. [REDACTED] REFUSED TO LEAVE, [REDACTED] (SCA) THEN SPOKE WITH WILSON'S SECURITY AND ASKED FOR ASSISTANCE TO REMOVE HER FROM THE RECREATION TENT. [REDACTED] (WILSON'S CSO) ARRIVED AND SPOKE WITH [REDACTED] . [REDACTED] REFUSED TO LEAVE , SO [REDACTED] STATED SHE WOULD SPEAK TO [REDACTED] 'S FATHER [REDACTED] THE MESS. [REDACTED] RETURNED FROM THE MESS AND STATED [REDACTED] 'S FATHER [REDACTED] STATED HE WAS UNABLE TO HELP AND HE WOULD BE STAYING IN THE MESS. I SPOKE WITH [REDACTED] CALMLY AND STATED I WOULD GIVE HER A CHOICE, SHE COULD LEAVE THE RECREATION SPACE OR I WOULD NEED TO WALK HER OUT. I THEN STATED SHE WOULD HAVE 1 MINUTE TO DECIDE. AFTER 1 MINUTE [REDACTED] WAS STILL SEATED SO I STATED ""COME ON [REDACTED] , I NEED TO WALK YOU OUT NOW"" I THEN HELD [REDACTED] 'S UPPER ARMS FROM BEHIND HER AND BEGAN WALKING HER TOWARDS THE DOOR. [REDACTED] LIFTED HER FEET AND REFUSED TO WALK ON HER OWN. I CALMLY STATED ""COME ON [REDACTED] , YOU NEED TO WALK NOW"" [REDACTED] WITNESSED ME WALKING [REDACTED] TOWARD THE DOOR AND WILSON'S SECURITY [REDACTED] AND JAYDEN BETTERIDGE MET ME AND [REDACTED] AT THE DOOR. AS I WALKED [REDACTED] THROUGH THE DOOR [REDACTED] AND JAYDEN STATED ""COME ON [REDACTED] "" AND HELD HER UPPER ARMS TO ENABLE ME TO CLOSE THE DOOR. I STOOD AT THE DOOR TO TRY TO DISCOURAGE [REDACTED] FROM RE-ENTERING THE ROOM. DURING THE ENTIRE INCIDENT [REDACTED] , [REDACTED] AND I DID NOT USE ANY UNREASONABLE OR UNNECESSARY FORCE TO REMOVE [REDACTED] . AFTER A COUPLE OF MINUTES TALKING TO [REDACTED], [REDACTED] PUSHED THROUGH THE DOOR BEHIND ME, [REDACTED] STATED "" WATCH OUT FOR HER FINGERS SO I STEPPED AWAY FROM THE DOOR BUR CONTINUED TO BLOCK THE ENTRANCE. [REDACTED] USED HER HANDS TO BLOCK [REDACTED] FROM REENTERING THE ROOM. [REDACTED] DECIDED TO LEAVE THE ROOM AND WENT AROUND THE BACK OF THE TENT. [REDACTED] STATED TO ME ""[REDACTED] IS GOING AROUND THE BACK, BUT JUST LEAVE HER, BECAUSE THERE IS NOTHING WE CAN DO"" [REDACTED] STATED THAT [REDACTED] HAD REPORTED TO HER THAT I HAD HURT HER AND SQUEEZED HER ARM. [REDACTED] HAD SHOWN HER A RED MARK ON HER UPPER ARM. [REDACTED] TOLD ME IT WOULD BE EASIER IF WE LET HER WATCH THE MOVIE OR THEY WOULD NEED TO WRITE AN IR BASED ON WHAT [REDACTED] HAD REPORTED. [REDACTED] THEN SPOKE TO [REDACTED] AND STATED SHE COULD WATCH THE MOVIE IF SHE WAS GOING TO BE A GOOD GIRL. APPROXIMATELY 5 MINUTES AFTER THIS INCIDENT [REDACTED] 'S FATHER [REDACTED] ENTERED THE RECREATION TENT, APPROACHED ME AND ASKED WHAT HAD HAPPENED, I EXPLAINED WHAT HAD HAPPENED AND INFORMED HIM [REDACTED] WOULD PROBABLY INFORM HIM I HAD HURT HER UPPER ARMS. HE STATED ""NO PROBLEM"" [REDACTED] SAID THERE WAS NOTHING HE COULD DO, REGARDING GETTING [REDACTED] TO LEAVE DUE TO HER MENTAL HEALTH. I ASKED [REDACTED] AND [REDACTED] IF THEY THOUGHT I USED EXCESSIVE FORCE AND THEY BOTH SAID NO. WILSON'S SECURITY CSO [REDACTED] ADVISED THEY WOULD HAVE TO COMPLETE A MAJOR IR"
SCA15.0444,16/5/2015,NO,MAJOR,SEXUAL ASSAULT,"AT ABOUT 0750HRS ON 17 MAY 2015, INFORMATION WAS RECEIVED IN THE CONTROL ROOM TO UPGRADE AN INFORMATION REPORT TO A MAJOR REPORTING INCIDENT OF SEXUAL ASSAULT. THE INCIDENT RELATES TO AN ALLEGATION OF SEXUAL ASSAULT MADE BY [REDACTED] WHO DEPARTED RPC3 ON 16 MAY 2015 ON OPEN CENTRE LEAVE. AT APPROX 1800HRS ON 16 MAY 2015 [REDACTED] HAD FAILED TO RETURN TO RPC3 WHILE ON OPEN CENTRE LEAVE. THE NPF WERE INFORMED AND PROVIDED WITH DETAILS OF HER DESCRIPTION AND CLOTHING. AT APPROX. 2107HRS INFORMATION WAS RECEIVED THAT [REDACTED] WAS LOCATED BY THE POLICE, WALKING NAKED IN THE COMMUNITY AND THEN CONVEYED BY POLICE TO THE POLICE STATION. AN ALLEGATION OF SEXUAL ASSAULT HAS BEEN MADE."
SCA15.0445,16/5/2015,NO,MAJOR,ABSCOND,INFORMED BY GATE 3 TEAM LEADER THAT [REDACTED] HAD NOT RETURNED FROM OPEN CENTRE
SCA15.0446,16/5/2015,NO,MAJOR,Assault on a Minor,[REDACTED] 'S FATHER [REDACTED] WAS REQUESTED TO ATTED A SITUATION REGARDING [REDACTED] . [REDACTED] DECLINED AS HE WAS EATING AND DID NOT WISH TO BE INTERRUPTED.
SCA15.0460,16/5/2015,NO,MAJOR,Assault on a Minor,REPEAT OF SCA15.0446
SCA15.0345,17/5/2015,NO,MAJOR,ASSAULT,"AT 17:20 SCA WORKER INTERVENED IN AN ALTERCATION BETWEEN [REDACTED] AND [REDACTED]. AS [REDACTED] WAS ABOUT TO FORCIBLY KICK [REDACTED] THE SCA WORKER [REDACTED] STEPPED IN BETWEEN THE TWO BOYS, AND ASKED [REDACTED] TO LEAVE. [REDACTED] WAS IN A HEIGHTENED MOOD AND BEGAN VERBALLY ABUSING THE WORKER AND STARTED TO KNOCK OVER CHAIRS AND THREATEN TO BREAK COMPUTERS. THE SCA WORKER [REDACTED] ASSISTED [REDACTED] TO THE DOOR WITH HER HANDS LOOSELY ON HIS SHOULDERS TO GUIDE HIM, AT THIS TIME [REDACTED] HEAD BUTTED THE SCA WORKER MAKING CONTACT WITH THE BACK OF HIS HEAD TO HER CHIN. ONCE [REDACTED] WAS OUTSIDE HE CONTINUED TO VERBALLY ABUSE THE SCA WORKER, THEN ESCALATED BY PUSHING HER WITH TWO HANDS TO HER UPPER CHEST. [REDACTED] AGAIN WAS ASKED TO LEAVE THE AREA. [REDACTED] COMPLIED WITH THIS REQUEST"
SCA15.0346,17/5/2015,YES,MINOR,OBSCENE BEHAVIOUR,"I SCA CW [REDACTED] WAS WAITING AT THE ENTRANCE TO AREA 1 TO SIGN OUT WHEN MY CLIENT [REDACTED] APPROACHED ME. SHE ASKED TO SPEAK ABOUT A ""GIRL IN RPC3"" [REDACTED] STATED SHE HAD BEEN TOLD BY A NAURUAN SECURITY OFFICER THAT AN ASYLUM SEEKER ""HAS BEEN KIDNAPPED AND RAPED BY NAURUAN MEN LAST NIGHT"". CW [REDACTED] REPLIED TO HER THAT HE IS UNAWARE OF WHAT HAPPENED LAST NIGHT AND SHE SHOULD NOT PAY ATTENTION TO RUMORS. [REDACTED] THEN LEFT AND HEADED BACK TO HER ACCOMMODATION"
SCA15.0347,19/5/2015,NO,MINOR,Self-Harm Threat,"SCA CW [REDACTED] WAS WALKING THROUGH THE VOLLEYBALL AREA WHEN HE WAS STOPPED BY [REDACTED]. [REDACTED] STATED TO CW THAT IT IS HER BIRTHDAY ON FRIDAY. SHE THEN STATED ""I WANT TO DIE ON MY BIRTHDAY"". CM ASKED WHY AND SHE REPLIED "" IT IS NOT WORTH LIVING HERE ANYMORE, CAN YOU GET A GUN FOR ME SO I CAN DIE ON MY BIRTHDAY?"" CW STATED HE DID NOT WANT HER TO DIE AND [REDACTED] WALKED OFF IN TEARS."
SCA15.0348,19/5/2015,NO,MINOR,Antisocial Behaviour,"STUDENT [REDACTED] BECAME HEIGHTENED FOLLOWING A CLASS ON PROTECTIVE BEHAVIOURS. SHE BEGAN DESTROYING THE CLASSROOM (POURING PAINT ON THE COMPUTER, FLOORS, WALLS - RIPPING UP RESOURCES AND OTHER CHILDREN'S WORK ETC). AFTER APPROX 2 MINUTES OF THIS BEHAVIOUR [REDACTED] (SCA TEACHER) REMOVED THE CLASS. [REDACTED] REMAINED WITH MYSELF [REDACTED] - PRIMARY SCHOOL COORDINATOR) UNTIL SHE CALMED DOWN. APPROXIMATELY 30-40 MIN LATER. [REDACTED] D.O.B. [REDACTED]"
SCA15.0349,20/5/2015,NO,MINOR,THREAT OF HARM,"DURING A PARENT, TEACHER AND CASE MANAGER MEETING REGARDING FOLLOW UP TO INCIDENT AT SCHOOL WITH [REDACTED], [REDACTED] SAID THAT HER MOTHER WOULD HIT HER AFTER SCHOOL BECAUSE SHE WAS IN TROUBLE. SHE REPEATED THIS TWO TIMES. [REDACTED] D.O.B. [REDACTED]"
SCA15.0350,20/5/2015,YES,MINOR,Non-complaint,AT 18:30 I SPOKE TO ROMEO 1 TO ADVISE THAT THREE (3) CHILDREN WERE BANNED FROM ATTENDING THE EVENING RECREATION SESSION. I PROVIDED A COPY OF THE ID NUMBERS TO WILSON'S AND ASKED FOR THEIR ASSISTANCE IN KEEPING THE RECREATION AREA SAFE FOR THE OTHER CHILDREN TO ATTEND. AT 19:05 THE CHILDREN HAD BEEN REMOVED FROM THE AREA AND STAFF BEGAN TO PREPARE FOR THE SESSION BECAUSE IT WAS SAFE AT THE TIME. [REDACTED] -AGE 50 AND [REDACTED] - AGE 8 CONTINUED TO DISOBEY INSTRUCTIONS FROM SAVE THE CHILDREN STAFF AND WILSON'S STAFF. IT WAS UNSAFE TO BEGIN THE SESSION DUE TO THE DISRUPTIVE BEHAVIOUR AND NON-COMPLIANCE OF THE CHILDREN
